127.0.0.1 - - [16/Jan/2021:22:34:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:34:33 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:34:33 +0900] "GET /spring/image/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:34:33 +0900] "GET /spring/image/image01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:34:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:35:09 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:35:10 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:37:06 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:37:06 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 200 36953
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:38:15 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:38:15 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:38:49 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:38:49 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:40:43 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:40:43 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 200 28587
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:15 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:15 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:16 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:24 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:24 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:24 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:25 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:25 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:25 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:26 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:26 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:26 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:26 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:27 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:27 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:41:27 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1848
